Année;D1 Rémunération des salariés;Salaires et traitements bruts;Cotisations sociales effectives à la charge des employeurs;Cotisations sociales imputées à la charge des employeurs
1944;;;;
1945;;;;
1946;;;;
1947;;;;
1948;;;;
1949;1,1;0,9;0,0;0,2
1950;1,4;1,1;0,0;0,3
1951;1,7;1,4;0,0;0,3
1952;2,1;1,7;0,1;0,3
1953;2,2;1,8;0,1;0,4
1954;2,4;1,9;0,1;0,4
1955;2,5;1,9;0,1;0,5
1956;2,8;2,2;0,1;0,4
1957;3,1;2,5;0,2;0,5
1958;3,6;2,9;0,2;0,6
1959;4,1;3,2;0,2;0,6
1960;4,4;3,4;0,3;0,7
1961;4,8;3,8;0,3;0,7
1962;5,5;4,3;0,4;0,8
1963;6,3;4,8;0,5;1,0
1964;6,9;5,2;0,7;1,1
1965;7,4;5,5;0,6;1,2
1966;7,9;5,9;0,7;1,3
1967;8,5;6,4;0,8;1,4
1968;10,0;7,5;1,0;1,5
1969;11,4;8,4;1,3;1,6
1970;12,9;9,5;1,5;1,8
1971;14,6;10,8;1,8;2,0
1972;16,4;12,1;2,0;2,3
1973;18,6;13,7;2,3;2,5
1974;22,4;16,6;2,8;3,0
1975;27,4;20,3;3,4;3,6
1976;32,4;23,8;4,2;4,4
1977;37,6;27,5;5,2;4,9
1978;43,6;31,5;6,2;5,9
1979;49,6;35,8;7,3;6,5
1980;57,4;41,6;8,3;7,5
1981;66,3;48,1;9,4;8,7
1982;77,8;55,5;12,0;10,2
1983;86,5;61,8;13,6;11,1
1984;94,5;67,6;14,8;12,1
1985;101,2;72,0;16,2;13,0
1986;108,1;76,7;17,3;14,1
1987;111,3;79,1;17,7;14,5
1988;115,7;81,8;18,8;15,1
1989;121,5;86,5;19,8;15,3
1990;128,0;91,6;20,3;16,0
1991;134,6;96,5;21,2;16,9
1992;142,6;102,1;22,4;18,1
1993;150,4;107,7;23,4;19,3
1994;156,1;111,4;24,6;20,0
1995;164,1;116,8;26,5;20,8
1996;170,4;120,4;27,5;22,5
1997;174,6;123,0;28,2;23,4
1998;179,3;126,4;28,9;24,1
1999;186,1;130,5;30,8;24,9
2000;194,0;136,3;31,8;26,0
2001;200,1;140,2;33,1;26,7
2002;209,2;146,7;34,5;27,9
2003;216,5;151,1;36,1;29,4
2004;221,4;154,1;37,1;30,1
2005;229,8;159,2;39,5;31,2
2006;235,4;162,7;40,8;31,9
2007;242,9;166,8;42,5;33,6
2008;249,3;170,4;43,9;35,0
2009;257,8;175,5;45,5;36,9
2010;262,5;177,8;46,6;38,2
2011;268,5;181,4;47,3;39,7
2012;272,6;183,4;48,0;41,1
2013;278,1;186,4;49,5;42,1
2014;282,9;189,2;51,1;42,6
2015;285,1;189,9;52,4;42,8
2016;287,7;191,5;53,0;43,1
2017;294,8;196,7;54,9;43,3
2018;296,7;198,7;54,1;43,9
2019;300,6;201,9;54,6;44,2
2020;307,6;207,3;55,7;44,6
2021;317,1;214,1;58,1;44,9
2022;331,0;223,7;60,5;46,8
2023;346,2;233,7;63,5;49,0
