Année;Sécurité Sociale : Vieillesse (<= 1 plafond);Sécurité Sociale : Vieillesse (> 1 plafond);Total Sécurité Sociale hors taux accidents du travail (<=1 plafond);Total Sécurité Sociale hors taux accidents du travail (> 1plafond)
1944; ; ; ;
1945; ; ; ;
1946; ; ; ;
1947; ; ; ;
1948; ; ; ;
1949; ; ; ;
1950; ; ;26,00;0,00
1951; ; ;26,19;0,00
1952; ; ;26,75;0,00
1953; ; ;26,75;0,00
1954; ; ;26,75;0,00
1955; ; ;26,75;0,00
1956; ; ;26,75;0,00
1957; ; ;26,75;0,00
1958; ; ;26,75;0,00
1959; ; ;24,50;0,00
1960; ; ;24,50;0,00
1961; ; ;27,75;0,00
1962; ; ;27,75;0,00
1963; ; ;27,75;0,00
1964; ; ;27,75;0,00
1965; ; ;27,75;0,00
1966; ; ;28,00;0,00
1967;1,38; ;27,25;0,50
1968;5,50; ;28,50;2,00
1969;5,50; ;28,50;2,00
1970;5,60; ;28,49;2,00
1971;5,75; ;28,70;2,00
1972;5,75; ;28,70;2,00
1973;5,75; ;28,70;2,00
1974;7,25; ;29,08;2,00
1975;7,25; ;28,70;2,00
1976;7,55; ;29,63;2,50
1977;7,70; ;30,15;2,50
1978;7,70; ;30,15;2,50
1979;8,20; ;30,65;4,50
1980;8,20; ;30,65;4,50
1981;8,20; ;30,65;5,08
1982;8,20; ;30,65;8,00
1983;8,20; ;30,65;8,00
1984;8,20; ;29,80;12,60
1985;8,20; ;29,80;12,60
1986;8,20; ;29,80;12,60
1987;8,20; ;29,80;12,60
1988;8,20; ;29,80;12,60
1989;8,20; ;28,80;16,10
1990;8,20; ;27,80;19,60
1991;9,67;1,47;27,80;19,60
1992;9,80;1,60;28,00;19,80
1993;9,80;1,60;28,00;19,80
1994;9,80;1,60;28,00;19,80
1995;9,80;1,60;28,00;19,80
1996;9,80;1,60;28,00;19,80
1997;9,80;1,60;28,00;19,80
1998;9,80;1,60;28,00;19,80
1999;9,80;1,60;28,00;19,80
2000;9,80;1,60;28,00;19,80
2001;9,80;1,60;28,00;19,80
2002;9,80;1,60;28,00;19,80
2003;9,80;1,60;28,00;19,80
2004;9,80;1,60;28,00;19,80
2005;9,80;1,60;28,00;19,80
2006;9,90;1,60;28,10;19,80
2007;9,90;1,60;28,10;19,80
2008;9,90;1,60;28,10;19,80
2009;9,90;1,60;28,10;19,80
2010;9,90;1,60;28,10;19,80
2011;9,90;1,60;28,10;19,80
2012;9,92;1,60;28,12;19,80
2013;10,00;1,60;28,20;19,80
2014;10,20;1,75;28,25;19,80
2015;10,30;1,80;26,55;19,85
2016;10,40;1,85;26,69;18,14
2017;10,45;1,90;26,79;18,24
2018;10,45;1,90;26,90;18,35
2019;10,45;1,90;20,90;18,35
2020;10,45;1,90;20,90;18,35
2021;10,45;1,90;20,90;18,35
2022;10,45;1,90;20,90;18,35
2023;10,45;1,90;20,90;18,35
