De;A;Effectif
0;1200;410138
1200;1300;644088
1300;1400;929836
1400;1500;1074037
1500;1600;1166031
1600;1700;1100461
1700;1800;1019599
1800;1900;938288
1900;2000;854236
2000;2100;776672
2100;2200;691416
2200;2300;616753
2300;2400;552670
2400;2500;490607
2500;2600;442402
2600;2700;397164
2700;2800;356526
2800;2900;316877
2900;3000;284969
3000;3100;260466
3100;3200;234471
3200;3300;211541
3300;3400;192687
3400;3500;174480
3500;3600;160107
3600;3700;146390
3700;3800;132525
3800;3900;121762
3900;4000;113495
4000;4100;103975
4100;4200;94392
4200;4300;87225
4300;4400;80856
4400;4500;73560
4500;4600;68507
4600;4700;64241
4700;4800;59437
4800;4900;54800
4900;5000;51018
5000;5100;47446
5100;5200;44424
5200;5300;41266
5300;5400;38237
5400;5500;35716
5500;5600;33892
5600;5700;31350
5700;5800;29424
5800;5900;27615
5900;6000;26364
6000;6100;24679
6100;6200;22989
6200;6300;21468
6300;6400;20339
6400;6500;19083
6500;6600;18236
6600;6700;17273
6700;6800;16247
6800;6900;14996
6900;7000;14775
7000;7100;13614
7100;7200;12756
7200;7300;12294
7300;7400;11553
7400;7500;11169
7500;7600;10598
7600;7700;9942
7700;7800;9606
7800;7900;9085
7900;8000;9281
8000;8100;8570
8100;8200;8165
8200;8300;7601
8300;8400;7429
8400;8500;7110
8500;8600;6681
8600;8700;6535
8700;8800;6077
8800;8900;5964
8900;9000;5562
9000;;194426
