Année;Indice base 100 en 1951
1944;
1945;
1946;
1947;
1948;
1949;
1951;100,0
1952;112,2
1953;111,2
1954;111,2
1955;112,2
1956;114,2
1957;117,3
1958;135,7
1959;143,9
1960;148,9
1961;154,0
1962;161,0
1963;168,1
1964;174,2
1965;178,2
1966;183,3
1967;188,5
1968;196,6
1969;208,8
1970;220,0
1971;232,4
1972;246,5
1973;264,8
1974;301,3
1975;336,0
1976;369,6
1977;403,2
1978;439,9
1979;487,8
1980;553,2
1981;627,3
1982;701,5
1983;769,0
1984;825,9
1985;874,1
1986;897,3
1987;925,5
1988;950,4
1989;984,7
1990;1017,9
1991;1051,1
1992;1075,3
1993;1098,0
1994;1116,1
1995;1137,2
1996;1159,9
1997;1173,5
1998;1181,0
1999;1187,1
2000;1206,7
2001;1226,3
2002;1250,5
2003;1276,2
2004;1303,3
2005;1327,5
2006;1349,1
2007;1369,2
2008;1407,7
2009;1408,9
2010;1430,4
2011;1460,6
2012;1489,1
2013;1502,1
2014;1509,6
2015;1510,2
2016;1513,0
2017;1528,7
2018;1556,9
2019;1574,1
2020;1581,7
2021;1607,7
2022;1691,6
2023;1774,5
