Année;D1 Rémunération des salariés;D11 Salaires et traitements bruts;D12 Cotisations sociales à la charge des employeurs
1944;;;
1945;;;
1946;;;
1947;;;
1948;;;
1949;5,8;4,6;1,2
1950;6,6;5,1;1,4
1951;8,3;6,5;1,8
1952;9,9;7,8;2,1
1953;10,4;8,1;2,2
1954;11,2;8,8;2,4
1955;12,2;9,5;2,7
1956;13,7;10,7;3,1
1957;15,3;12,0;3,4
1958;17,5;13,7;3,8
1959;19,2;14,9;4,2
1960;21,0;16,3;4,7
1961;23,4;18,0;5,4
1962;26,5;20,2;6,3
1963;30,3;23,0;7,3
1964;33,7;25,6;8,2
1965;36,4;27,4;9,0
1966;39,2;29,6;9,7
1967;42,4;31,8;10,7
1968;47,7;35,7;12,0
1969;54,6;40,7;13,8
1970;61,9;46,4;15,5
1971;69,8;52,3;17,5
1972;78,0;58,6;19,4
1973;89,7;67,6;22,1
1974;107,3;80,7;26,5
1975;126,6;94,0;32,7
1976;147,2;108,7;38,5
1977;167,3;122,8;44,5
1978;189,5;138,9;50,6
1979;215,2;156,5;58,8
1980;247,3;180,4;66,9
1981;280,7;205,1;75,6
1982;321,7;233,2;88,5
1983;353,6;254,5;99,0
1984;379,9;272,2;107,7
1985;402,6;287,3;115,2
1986;423,6;302,9;120,7
1987;442,3;315,5;126,8
1988;467,6;333,2;134,4
1989;497,5;354,6;142,9
1990;531,0;380,0;151,0
1991;554,3;398,0;156,3
1992;575,4;410,7;164,7
1993;585,7;418,2;167,6
1994;597,9;427,3;170,6
1995;619,8;444,4;175,4
1996;637,3;456,9;180,4
1997;654,0;469,9;184,1
1998;678,0;488,1;189,9
1999;709,3;511,0;198,3
2000;748,7;542,9;205,7
2001;781,6;568,3;213,4
2002;813,8;592,1;221,7
2003;837,8;607,9;229,9
2004;867,0;630,1;236,9
2005;899,3;654,5;244,8
2006;937,3;683,3;254,1
2007;974,3;710,9;263,5
2008;1003,9;732,7;271,2
2009;1006,6;733,5;273,1
2010;1032,7;753,5;279,3
2011;1064,4;772,3;292,1
2012;1088,8;787,0;301,8
2013;1107,9;797,6;310,4
2014;1126,9;806,7;320,2
2015;1143,1;817,8;325,3
2016;1165,0;835,5;329,5
2017;1202,2;863,5;338,7
2018;1232,0;886,0;346,0
2019;1243,0;914,1;329,0
2020;1195,0;877,3;317,7
2021;1285,6;946,4;339,2
2022;1377,1;1019,2;357,9
2023;1449,0;1072,5;376,5
