Année;S11-Sociétésnonfinancières;S12-Sociétésfinancières;S13-Administrationspubliques;S14-Ménages;S15-Institutionssansbutlucratifauservicesdesménages
1978;11025,0;614,3;4304,9;5436,1;474,4
1979;11085,3;626,5;4402,8;5385,9;484,0
1980;11178,6;634,8;4484,1;5302,7;499,8
1981;11125,4;644,6;4615,6;5191,5;509,4
1982;11134,4;654,7;4713,2;5132,7;504,2
1983;11082,4;664,9;4804,3;5054,1;502,6
1984;10903,8;675,4;4915,4;4973,9;513,2
1985;10799,1;684,3;5032,5;4877,9;514,5
1986;10866,0;691,6;5124,2;4826,6;514,2
1987;10982,8;698,7;5208,8;4796,8;534,6
1988;11203,5;703,4;5221,7;4802,2;542,1
1989;11538,2;706,8;5290,8;4801,6;562,1
1990;11797,0;704,0;5339,1;4723,5;575,9
1991;11787,0;704,0;5408,8;4634,2;615,4
1992;11612,9;692,2;5501,4;4527,6;633,6
1993;11370,7;678,8;5582,2;4349,9;639,6
1994;11407,3;679,8;5649,7;4248,5;673,3
1995;11547,6;678,1;5666,4;4210,3;709,6
1996;11567,3;673,6;5680,3;4153,3;734,1
1997;11722,7;674,2;5645,1;4095,3;781,4
1998;12022,4;671,6;5636,2;4084,3;822,1
1999;12428,9;675,6;5647,6;4093,0;907,4
2000;13027,5;683,2;5691,0;4108,4;895,6
2001;13487,4;707,2;5739,3;4095,4;844,1
2002;13700,4;726,1;5785,6;4076,7;790,3
2003;13717,9;736,3;5867,0;4080,3;703,2
2004;13767,9;732,0;5882,6;4105,6;665,1
2005;13896,3;736,8;5877,6;4143,0;677,4
2006;14128,3;742,3;5891,7;4224,5;716,8
2007;14380,4;761,3;5924,7;4290,0;739,5
2008;14469,5;764,8;5927,8;4315,9;736,5
2009;14172,6;753,1;5948,7;4295,0;761,3
2010;14140,9;751,6;5937,3;4309,6;782,3
2011;14287,6;759,7;5849,3;4363,1;791,8
2012;14318,3;761,0;5809,5;4388,0;802,4
2013;14301,0;760,1;5841,2;4394,2;816,5
2014;14309,9;760,4;5893,8;4388,1;839,0
2015;14357,2;765,6;5924,0;4379,0;853,6
2016;14534,6;764,6;5927,8;4336,7;866,1
2017;14814,2;764,5;5925,3;4336,1;886,7
2018;15117,0;766,3;5872,7;4378,4;873,6
2019;15391,1;772,3;5878,6;4456,4;872,7
2020;15311,1;778,4;5897,8;4507,0;862,6
2021;15861,8;786,8;6011,2;4630,4;892,8
2022;16342,5;795,6;6024,7;4780,5;917,1
2023;16545,7;807,9;6039,9;4816,4;934,9
