Année;Cotisations sociales hors contribution déquilibre;ITAF et prises en charge État;Transferts depuis organismes extérieurs;Contribution déquilibre au régime de la FPE;Subventions déquilibre versées par lÉtat aux régimes spéciaux;Autres produits
2004;66;7;8;2;2;15
2005;65;8;8;3;2;14
2006;65;10;6;3;2;14
2007;64;10;5;4;2;15
2008;66;11;6;2;3;12
2009;66;10;5;3;2;14
2010;68;10;5;2;3;12
2011;67;12;5;1;3;12
2012;65;12;5;2;3;13
2013;65;12;6;2;3;12
2014;65;12;6;2;3;12
2015;65;12;6;2;3;12
2016;66;12;6;1;3;12
2017;67;11;7;1;2;12
2018;66;11;7;2;2;12
2019;66;13;5;2;2;12
2020;66;14;5;0;2;13
2021;66;13;5;2;2;12
2022;66;14;5;1;2;12
2023;65;14;5;2;2;12
2024;65;14;5;2;2;12
