Année;Sécurité Sociale : Vieillesse (<= 1 plafond);Sécurité Sociale : Vieillesse (> 1 plafond);Sécurité Sociale : Veuvage (<= 1 plafond);Sécurité Sociale : Veuvage (> 1 plafond);Total Sécurité Sociale (<= 1 plafond);Total Sécurité Sociale (> 1 plafond)
1944; ; ; ; ; ;
1945; ; ; ; ; ;
1946; ; ; ; ; ;
1947; ; ; ; ; ;
1948; ; ; ; ; ;
1949; ; ; ; ; ;
1950; ; ; ; ;6,00;0,00
1951; ; ; ; ;6,00;0,00
1952; ; ; ; ;6,00;0,00
1953; ; ; ; ;6,00;0,00
1954; ; ; ; ;6,00;0,00
1955; ; ; ; ;6,00;0,00
1956; ; ; ; ;6,00;0,00
1957; ; ; ; ;6,00;0,00
1958; ; ; ; ;6,00;0,00
1959; ; ; ; ;6,00;0,00
1960; ; ; ; ;6,00;0,00
1961; ; ; ; ;6,00;0,00
1962; ; ; ; ;6,00;0,00
1963; ; ; ; ;6,00;0,00
1964; ; ; ; ;6,00;0,00
1965; ; ; ; ;6,00;0,00
1966; ; ; ; ;6,00;0,00
1967;0,75; ; ; ;5,50;0,88
1968;3,00; ; ; ;6,50;1,00
1969;3,00; ; ; ;6,50;1,00
1970;3,00; ; ; ;6,50;1,00
1971;3,00; ; ; ;6,50;1,00
1972;3,00; ; ; ;6,50;1,00
1973;3,00; ; ; ;6,50;1,00
1974;3,00; ; ; ;6,50;1,00
1975;3,00; ; ; ;6,50;1,00
1976;3,30; ; ; ;7,43;1,50
1977;3,45; ; ; ;7,95;1,50
1978;3,45; ; ; ;7,95;1,50
1979;4,70; ; ; ;9,62;3,92
1980;4,70; ; ; ;10,20;5,50
1981;4,70; ;0,10; ;10,30;5,50
1982;4,70; ;0,10;0,10;10,30;5,60
1983;4,70; ;0,10;0,10;10,30;5,60
1984;5,70; ;0,10;0,10;11,30;5,60
1985;5,70; ;0,10;0,10;11,30;5,60
1986;5,99; ;0,10;0,10;11,59;5,60
1987;6,50; ;0,10;0,10;12,30;5,80
1988;6,60; ;0,10;0,10;12,60;6,00
1989;7,60; ;0,10;0,10;13,60;6,00
1990;7,60; ;0,10;0,10;13,60;6,00
1991;6,64; ;0,10;0,10;13,09;6,45
1992;6,55; ;0,10;0,10;13,45;6,90
1993;6,55; ;0,10;0,10;13,45;6,90
1994;6,55; ;0,10;0,10;13,45;6,90
1995;6,55; ;0,10;0,10;13,45;6,90
1996;6,55; ;0,10;0,10;13,45;6,90
1997;6,55; ;0,10;0,10;12,15;5,60
1998;6,55; ;0,10;0,10;7,40;0,85
1999;6,55; ;0,10;0,10;7,40;0,85
2000;6,55; ;0,10;0,10;7,40;0,85
2001;6,55; ;0,10;0,10;7,40;0,85
2002;6,55; ;0,10;0,10;7,40;0,85
2003;6,55; ;0,10;0,10;7,40;0,85
2004;6,60;0,05;0,05;0,05;7,40;0,85
2005;6,65;0,10; ; ;7,40;0,85
2006;6,75;0,10; ; ;7,50;0,85
2007;6,75;0,10; ; ;7,50;0,85
2008;6,75;0,10; ; ;7,50;0,85
2009;6,75;0,10; ; ;7,50;0,85
2010;6,75;0,10; ; ;7,50;0,85
2011;6,75;0,10; ; ;7,50;0,85
2012;6,77;0,10; ; ;7,52;0,85
2013;6,85;0,10; ; ;7,60;0,85
2014;7,05;0,25; ; ;7,80;1,00
2015;7,15;0,30; ; ;7,90;1,05
2016;7,25;0,35; ; ;8,00;1,10
2017;7,30;0,40; ; ;8,05;1,15
2018;7,30;0,40; ; ;7,30;0,40
2019;7,30;0,40; ; ;7,30;0,40
2020;7,30;0,40; ; ;7,30;0,40
2021;7,30;0,40; ; ;7,30;0,40
2022;7,30;0,40; ; ;7,30;0,40
2023;7,30;0,40; ; ;7,30;0,40
