Année;Age de départ;Durée de cotisation (trimestres)
1940;60;157
1941;60;158
1942;60;159
1943;60;160
1944;60;160
1945;60;160
1946;60;160
1947;60;160
1948;60;160
1949;60;161
1950;60;162
1951;60,25;163
1952;60,75;164
1953;61,25;165
1954;61,5;165
1955;62;166
1956;62;166
1957;62;166
1958;62;167
1959;62;167
1960;62;167
1961;62,25;169
1962;62,5;169
1963;62,75;170
1964;63;171
1965;63,25;172
1966;63,5;172
1967;63,75;172
1968;64;172
1969;64;172
1970;64;172
1971;64;172
1972;64;172
1973;64;172
1974;64;172
1975;64;172
1976;64;172
1977;64;172
1978;64;172
1979;64;172
1980;64;172
1981;64;172
1982;64;172
1983;64;172
1984;64;172
1985;64;172
1986;64;172
1987;64;172
1988;64;172
1989;64;172
1990;64;172
1991;64;172
1992;64;172
1993;64;172
1994;64;172
1995;64;172
1996;64;172
1997;64;172
1998;64;172
1999;64;172
2000;64;172
2001;64;172
2002;64;172
2003;64;172
2004;64;172
2005;64;172
2006;64;172
2007;64;172
2008;64;172
2009;64;172
2010;64;172
2011;64;172
2012;64;172
2013;64;172
2014;64;172
2015;64;172
2016;64;172
2017;64;172
2018;64;172
2019;64;172
2020;64;172
2021;64;172
2022;64;172
2023;64;172
