Année;Esperance de vie moyenne
1944;65,2
1945;65,5
1946;65,8
1947;66,1
1948;66,4
1949;66,7
1950;67
1951;67,3
1952;67,6
1953;67,9
1954;68,2
1955;68,4
1956;68,7
1957;69
1958;69,1
1959;69,3
1960;69,5
1961;69,8
1962;70
1963;70,2
1964;70,5
1965;70,7
1966;71
1967;71,3
1968;71,5
1969;71,7
1970;71,9
1971;72,1
1972;72,4
1973;72,6
1974;72,9
1975;73,2
1976;73,4
1977;73,7
1978;74
1979;74,3
1980;74,6
1981;74,9
1982;75,2
1983;75,5
1984;75,8
1985;76,1
1986;76,4
1987;76,7
1988;77
1989;77,3
1990;77,6
1991;77,8
1992;78,1
1993;78,3
1994;78,5
1995;78,7
1996;78,9
1997;79,1
1998;79,3
1999;79,5
2000;79,7
2001;79,9
2002;80,1
2003;79,5
2004;80,3
2005;80,5
2006;80,7
2007;80,9
2008;81,1
2009;81,3
2010;81,6
2011;81,8
2012;82
2013;82,2
2014;82,4
2015;82
2016;82,3
2017;82,5
2018;82,7
2019;82,9
2020;82,1
2021;82,3
2022;82,5
2023;82,8
