Année;Plafond mensuel brut (en euros);Plafond mensuel net de prélèvements (en euros);Coût pour l employeur quand salaire brut = 1 plafond (en euros)
1944;;;
1945;;;
1946;;;
1947;;;
1948;;;
1949;;;
1950;34;32;42
1951;44;41;56
1952;56;53;72
1953;58;54;74
1954;58;54;74
1955;60;57;77
1956;67;63;86
1957;67;63;86
1958;76;72;98
1959;84;79;106
1960;87;82;110
1961;103;97;134
1962;122;113;160
1963;133;123;174
1964;145;135;190
1965;155;145;204
1966;165;153;216
1967;174;161;228
1968;183;168;243
1969;207;190;275
1970;229;210;304
1971;252;231;335
1972;279;256;374
1973;311;285;417
1974;354;324;477
1975;419;383;569
1976;482;435;660
1977;550;494;757
1978;610;547;841
1979;681;599;947
1980;764;666;1062
1981;874;761;1214
1982;1042;907;1450
1983;1165;1006;1632
1984;1265;1073;1770
1985;1356;1146;1900
1986;1425;1201;1994
1987;1484;1239;2078
1988;1529;1269;2143
1989;1592;1305;2214
1990;1665;1366;2297
1991;1750;1430;2411
1992;1831;1482;2537
1993;1903;1522;2650
1994;1945;1538;2716
1995;1981;1566;2766
1996;2048;1605;2867
1997;2092;1645;2930
1998;2148;1702;3017
1999;2206;1742;3106
2000;2241;1770;3154
2001;2279;1803;3201
2002;2352;1862;3306
2003;2432;1916;3430
2004;2476;1951;3501
2005;2516;1979;3561
2006;2589;2032;3665
2007;2682;2106;3794
2008;2773;2178;3923
2009;2859;2245;4048
2010;2885;2266;4089
2011;2946;2314;4173
2012;3031;2377;4293
2013;3086;2418;4374
2014;3129;2443;4439
2015;3170;2471;4503
2016;3218;2505;4497
2017;3269;2543;4570
2018;3311;2601;4632
2019;3377;2673;4527
2020;3428;2714;4595
2021;3428;2714;4595
2022;3428;2714;4595
2023;3666;2902;4914
