Année;Salaire en euros
1951;474
1952;559
1953;572
1954;625
1955;691
1956;763
1957;843
1958;939
1959;999
1960;1099
1961;1187
1962;1302
1963;1432
1964;1524
1965;1615
1966;1717
1967;1809
1968;1991
1969;2205
1970;2412
1971;2674
1972;2944
1973;3300
1974;3870
1975;4432
1976;5133
1977;5662
1978;6412
1979;6963
1980;7927
1981;8970
1982;10204
1983;11282
1984;12086
1985;12946
1986;13639
1987;14012
1988;14420
1989;15059
1990;15844
1991;16409
1992;16836
1993;17240
1994;17516
1995;17992
1996;18257
1997;18640
1998;18964
1999;19361
2000;19783
2001;20192
2002;20662
2003;21048
2004;21504
2005;22133
2006;22494
2007;23202
2008;23952
2009;24286
2010;24792
2011;25380
2012;25746
2013;25940
2014;26180
2015;26484
2016;26612
2017;27215
2018;27789
2019;28264
2020;30216
2021;30288
2022;31560
2023;32820
