Année;Plafonne;TotaliteSalaire
1967;8,5;
1968;8,5;
1969;8,75;
1970;8,75;
1971;8,75;
1972;8,75;
1973;8,75;
1974;10,25;
1975;10,25;
1976;10,75;
1977;11,15;
1978;11,15;
1979;12,9;
1980;12,9;
1981;13;
1982;12,9;0,1
1983;12,9;0,1
1984;13,9;0,1
1985;13,9;0,1
1986;14,6;0,1
1987;14,8;0,1
1988;14,8;0,1
1989;15,8;0,1
1990;15,8;0,1
1991;14,75;1,7
1992;14,75;1,7
1993;14,75;1,7
1994;14,75;1,7
1995;14,75;1,7
1996;14,75;1,7
1997;14,75;1,7
1998;14,75;1,7
1999;14,75;1,7
2000;14,75;1,7
2001;14,75;1,7
2002;14,75;1,7
2003;14,75;1,7
2004;14,75;1,7
2005;14,75;1,7
2006;14,95;1,7
2007;14,95;1,7
2008;14,95;1,7
2009;14,95;1,7
2010;14,95;1,7
2011;14,95;1,7
2012;15,15;1,7
2013;15,15;1,7
2014;15,25;2
2015;15,35;2,1
2016;15,45;2,2
2017;15,45;2,3
2018;15,45;2,3
2019;15,45;2,3
2020;15,45;2,3
2021;15,45;2,3
2022;15,45;2,3
2023;15,45;2,3
