annee;ouvrier;employe;cadre;profIntermediaire;eventOuvrier;eventEmploye;eventCadre;eventProfIntermediaire
1;0.62;0.61;0.85;0.78;;;;
2;0.655;0.645;0.88;0.82;;;;
3;0.691107644;0.674726989;0.916536661;0.856864275;;;;
4;0.708;0.69;0.945;0.88;;;;
5;0.725;0.705;0.98;0.905;Obtention CQP;;;
6;0.738;0.715;1.02;0.92;;;;
7;0.748;0.725;1.06;0.935;;;;
8;0.755;0.732;1.11;0.948;;Titularisation définitive;Promotion cadre confirmé;
9;0.762;0.738;1.16;0.958;;;;
10;0.77;0.745;1.22;0.968;Promotion chef équipe;;Gestion équipe;Spécialisation technique reconnue
11;0.775;0.748;1.26;0.973;;;;
12;0.778;0.75;1.295;0.976;;;;
13;0.780421217;0.752340094;1.329563183;0.979329173;;;;
14;0.785;0.755;1.37;0.99;;;;
15;0.79;0.76;1.415;1.005;;Formation nouvelles technologies;Accès direction intermédiaire;
16;0.795;0.765;1.46;1.02;;;;Responsabilités encadrement proximité
17;0.8;0.77;1.505;1.032;;;;
18;0.805;0.775;1.545;1.042;Usure physique début;;;
19;0.81;0.78;1.58;1.05;;;;
20;0.814;0.784;1.61;1.058;;;;
21;0.816;0.786;1.625;1.063;;;;
22;0.818;0.788;1.638;1.066;;Stagnation hiérarchique;Accès direction générale;
23;0.819;0.79;1.648;1.069;;;;
24;0.8195;0.7905;1.652;1.071;;;;Concurrence nouveaux diplômés
25;0.819812793;0.790951638;1.655226209;1.072152886;Plafonnement salarial atteint;;;
26;0.822;0.792;1.68;1.078;;;;
27;0.823;0.7925;1.71;1.085;;;;
28;0.824;0.793;1.74;1.09;;;Direction générale confirmée;
29;0.825;0.7935;1.765;1.093;;;;
30;0.826;0.794;1.785;1.096;;Progression ancienneté seule;;
31;0.8265;0.7945;1.8;1.098;;;;
32;0.827;0.795;1.81;1.0985;;;;Rôle référent technique
33;0.827223089;0.79524181;1.818642746;1.099843994;;;;
34;0.826;0.7955;1.835;1.108;;;;
35;0.825;0.796;1.85;1.118;Postes moins physiques;;Cadre dirigeant consolidé;
36;0.823;0.797;1.862;1.126;;;;
37;0.821;0.798;1.873;1.132;;;;
38;0.819;0.799;1.882;1.137;;;;Mentorat expertise reconnue
39;0.816302652;0.800312012;1.89274571;1.141575663;;;;
40;0.813;0.801;1.9;1.145;;;;
